index,QaA,QaE,QbA,QbE,QcA,QcE,QdA,QdE,QeA,QeE,QfA,QfE,QgA,QgE,QhA,QhE,QiA,QiE,QjA,QjE,QkA,QkE,QlA,QlE,QmA,QmE,QnA,QnE,QoA,QoE,QpA,QpE,QqA,QqE,QrA,QrE,QsA,QsE,QtA,QtE,age_group,education,engnat,familysize,gender,hand,married,race,religion,tp01,tp02,tp03,tp04,tp05,tp06,tp07,tp08,tp09,tp10,urban,voted,wf_01,wf_02,wf_03,wr_01,wr_02,wr_03,wr_04,wr_05,wr_06,wr_07,wr_08,wr_09,wr_10,wr_11,wr_12,wr_13
7990,2.0,667,1.0,738,5.0,197,1.0,386,1.0,1280,1.0,440,1.0,466,2.0,1266,1.0,1092,4.0,1849,3.0,1367,5.0,959,4.0,695,1.0,445,5.0,440,5.0,1509,1.0,344,1.0,463,5.0,344,5.0,555,20s,3,1,2,Male,1,1,White,Atheist,5,2,2,4,2,1,5,5,1,5,2,2,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1
7991,2.0,379,4.0,1203,2.0,765,1.0,619,2.0,1181,1.0,609,5.0,1056,1.0,1563,5.0,2119,4.0,651,5.0,949,5.0,928,4.0,531,2.0,378,4.0,1134,4.0,800,3.0,496,2.0,709,3.0,543,5.0,901,10s,2,1,2,Male,1,1,White,Christian_Catholic,4,0,5,1,0,1,2,2,2,5,2,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1
7992,3.0,310,5.0,972,5.0,506,1.0,518,1.0,871,2.0,595,1.0,876,5.0,393,1.0,1325,4.0,567,1.0,641,5.0,1183,5.0,607,2.0,463,4.0,664,5.0,908,1.0,269,2.0,795,4.0,796,5.0,605,20s,4,2,1,Female,1,1,White,Christian_Catholic,0,1,3,6,0,4,1,6,0,1,3,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1
7993,2.0,822,4.0,614,2.0,730,3.0,775,2.0,1758,1.0,809,2.0,526,1.0,1124,3.0,2334,2.0,1511,4.0,789,5.0,526,4.0,917,1.0,532,4.0,780,1.0,439,4.0,441,5.0,1314,5.0,1213,4.0,760,20s,3,1,3,Male,1,1,White,Christian_Protestant,5,1,2,1,1,2,1,5,4,6,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
7994,1.0,296,5.0,828,5.0,544,1.0,2000,2.0,13885,1.0,545,1.0,422,2.0,1862,1.0,1059,4.0,1733,1.0,1313,5.0,1042,5.0,867,1.0,8873,5.0,978,4.0,858,1.0,453,1.0,228,5.0,435,5.0,829,10s,2,2,1,Male,1,1,White,Atheist,6,1,1,4,4,0,6,6,0,3,2,2,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1
7995,4.0,428,4.0,2002,5.0,453,2.0,145,1.0,643,2.0,4251,4.0,593,2.0,1788,4.0,1392,5.0,1119,4.0,929,4.0,968,4.0,509,2.0,2539,5.0,1153,1.0,1018,4.0,433,4.0,711,5.0,395,3.0,6524,10s,2,1,3,Male,1,1,White,Christian_Protestant,0,2,1,4,0,4,4,2,2,0,2,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1
7996,1.0,1137,1.0,4505,1.0,3576,3.0,4468,2.0,6511,4.0,4709,4.0,4560,3.0,5971,3.0,1751,1.0,4372,5.0,2331,5.0,3140,4.0,3555,4.0,1355,4.0,3446,1.0,1582,4.0,1503,2.0,6143,3.0,13979,4.0,5248,60s,2,1,3,Female,2,2,White,Other,1,4,0,6,0,1,2,3,0,6,2,2,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,1
7997,2.0,557,2.0,937,4.0,2952,2.0,766,4.0,993,4.0,752,2.0,1495,2.0,813,3.0,1735,3.0,1198,5.0,1061,4.0,928,4.0,751,4.0,1134,3.0,868,2.0,642,4.0,541,4.0,641,4.0,707,2.0,798,30s,3,2,2,Male,1,2,Asian,Buddhist,2,4,1,4,2,1,1,5,2,4,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1
7998,1.0,594,3.0,1654,2.0,1079,1.0,1404,1.0,1052,2.0,790,4.0,741,2.0,1767,5.0,2675,1.0,1426,5.0,2100,5.0,1002,3.0,1160,2.0,429,4.0,30285,4.0,1334,5.0,696,1.0,1102,5.0,626,2.0,1077,30s,2,1,2,Male,1,2,White,Atheist,6,6,2,0,0,0,0,0,6,4,2,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
7999,1.0,610,1.0,1582,1.0,685,1.0,1328,2.0,1379,3.0,343,5.0,832,1.0,168,5.0,2234,4.0,1391,5.0,1564,2.0,2201,3.0,1009,5.0,873,1.0,1388,1.0,744,2.0,374,5.0,2370,1.0,451,3.0,1059,40s,2,1,2,Female,2,3,White,Christian_Other,2,4,0,5,0,3,4,2,2,5,3,2,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,1
8000,2.0,1372,4.0,2085,2.0,1013,1.0,722,4.0,1418,2.0,999,5.0,1093,4.0,2271,5.0,1446,1.0,2052,5.0,826,4.0,2206,4.0,2148,5.0,1155,3.0,1197,1.0,1336,5.0,558,5.0,1186,5.0,631,1.0,1148,20s,3,1,6,Male,1,1,White,Atheist,6,2,5,1,3,1,1,0,3,6,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1
8001,1.0,413,4.0,1755,4.0,1110,3.0,128,4.0,949,1.0,249,2.0,1350,3.0,1895,4.0,2433,4.0,1810,3.0,1040,3.0,950,4.0,1142,2.0,940,5.0,1226,2.0,951,2.0,3930,3.0,1389,4.0,421,4.0,809,10s,1,1,4,Female,1,1,White,Agnostic,4,2,1,1,0,1,2,3,5,5,1,2,1,0,0,0,1,0,1,1,0,1,1,0,1,1,1,1
8002,1.0,364,5.0,562,5.0,533,1.0,497,5.0,1027,2.0,621,1.0,401,1.0,800,5.0,1178,5.0,687,2.0,4057,1.0,1097,4.0,550,1.0,767,5.0,1144,5.0,1215,1.0,374,2.0,1716,5.0,441,1.0,1394,10s,2,1,2,Female,1,1,White,Christian_Protestant,1,5,2,6,0,6,1,5,1,6,2,2,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1
8003,5.0,802,1.0,1584,5.0,729,1.0,183,2.0,1133,1.0,1106,1.0,818,1.0,1329,1.0,1926,1.0,2900,5.0,1068,3.0,1885,4.0,1031,1.0,956,4.0,813,4.0,2602,5.0,1049,1.0,1733,3.0,1050,2.0,1174,50s,2,1,4,Female,1,2,White,Christian_Protestant,1,6,1,6,2,5,1,6,0,5,1,1,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1
8004,1.0,468,5.0,550,5.0,399,1.0,805,5.0,1082,1.0,690,1.0,379,1.0,911,1.0,1128,5.0,4467,5.0,792,5.0,1040,5.0,760,2.0,532,5.0,515,5.0,420,1.0,922,1.0,924,5.0,612,5.0,449,10s,2,1,2,Male,2,1,White,Christian_Protestant,0,0,0,6,0,6,1,6,0,6,1,2,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1
8005,1.0,453,4.0,823,2.0,914,4.0,2385,2.0,1122,3.0,545,2.0,710,2.0,781,4.0,1365,4.0,971,5.0,886,4.0,937,4.0,1334,2.0,390,5.0,1209,5.0,809,3.0,1653,5.0,1142,4.0,964,3.0,1675,10s,1,2,3,Male,1,1,Arab,Atheist,0,1,4,5,0,6,0,5,1,4,3,2,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
8006,1.0,724,2.0,991,4.0,710,1.0,882,2.0,1508,1.0,382,1.0,621,3.0,679,2.0,1044,5.0,689,3.0,2882,5.0,1240,4.0,693,1.0,287,1.0,615,4.0,847,3.0,635,4.0,152,5.0,517,4.0,1286,10s,2,1,1,Male,3,1,Asian,Agnostic,2,1,2,5,0,6,2,3,3,5,3,2,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,1
8007,1.0,467,4.0,865,4.0,631,1.0,1321,1.0,917,1.0,598,2.0,522,3.0,920,1.0,1254,4.0,1256,3.0,970,3.0,1207,4.0,4234,1.0,520,5.0,609,4.0,864,1.0,348,3.0,878,4.0,532,5.0,821,10s,1,2,1,Female,1,1,Black,Other,6,1,3,1,2,0,5,4,6,4,3,2,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1
8008,3.0,1364,2.0,1929,5.0,1336,1.0,1387,3.0,10267,1.0,1395,2.0,11140,2.0,11940,1.0,26647,4.0,13829,2.0,2918,5.0,272,5.0,1099,1.0,666,5.0,1767,5.0,4418,2.0,247,1.0,1572,5.0,778,4.0,5426,10s,1,1,2,Male,1,1,White,Christian_Protestant,5,2,1,2,4,0,2,6,1,2,3,2,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1
8009,2.0,321,4.0,801,5.0,893,1.0,825,1.0,704,1.0,344,5.0,503,2.0,997,4.0,1306,3.0,748,2.0,690,5.0,807,4.0,534,1.0,185,4.0,478,5.0,762,4.0,420,1.0,1430,4.0,439,3.0,685,20s,3,2,2,Male,2,1,White,Agnostic,1,2,2,5,0,5,1,4,1,5,2,2,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,1
8010,2.0,267,1.0,555,2.0,443,2.0,689,1.0,1174,2.0,678,2.0,1189,1.0,468,2.0,1928,4.0,964,2.0,929,5.0,524,4.0,2575,2.0,732,2.0,529,2.0,768,2.0,300,1.0,1066,5.0,434,5.0,955,30s,2,1,1,Male,1,1,White,Atheist,3,2,4,1,2,5,2,2,4,4,1,2,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0,1
8011,1.0,6012,1.0,4468,1.0,17803,1.0,4528,5.0,1374,1.0,1163,4.0,2738,1.0,1905,5.0,2641,1.0,1582,5.0,9231,5.0,2492,1.0,1579,1.0,593,1.0,17968,1.0,12534,5.0,5328,5.0,4958,1.0,4649,1.0,7360,30s,3,1,3,Female,1,1,White,Agnostic,6,2,1,5,2,0,0,5,2,5,3,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,1
8012,3.0,596,1.0,1371,1.0,1135,4.0,2749,1.0,1261,4.0,1196,4.0,695,1.0,1712,5.0,1375,2.0,2106,5.0,808,3.0,3254,4.0,1193,4.0,1356,1.0,703,1.0,603,5.0,469,5.0,844,1.0,1556,2.0,794,40s,2,1,5,Female,1,1,White,Agnostic,2,4,0,4,1,5,0,6,0,6,2,2,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1
8013,4.0,430,1.0,1307,2.0,1302,4.0,2600,4.0,1240,4.0,1014,4.0,1047,1.0,1128,5.0,1395,2.0,1355,5.0,840,5.0,1290,2.0,638,4.0,757,2.0,823,1.0,985,5.0,569,4.0,1329,2.0,1178,1.0,750,20s,2,1,2,Female,2,1,White,Agnostic,4,4,2,0,2,2,0,5,5,1,1,2,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,1
8014,1.0,426,2.0,1797,5.0,618,1.0,1099,1.0,1208,1.0,1545,4.0,2647,5.0,1044,5.0,1336,5.0,854,1.0,3314,4.0,1857,4.0,661,4.0,511,5.0,684,5.0,613,3.0,675,2.0,1248,5.0,503,5.0,1003,20s,4,2,2,Male,1,1,Asian,Hindu,5,1,5,0,0,1,1,0,6,5,2,2,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1
8015,3.0,671,1.0,792,1.0,783,3.0,786,5.0,906,5.0,475,3.0,524,1.0,887,5.0,1112,2.0,1074,5.0,801,5.0,782,2.0,1104,5.0,582,3.0,767,1.0,926,4.0,624,5.0,782,3.0,645,1.0,664,20s,3,1,2,Female,1,1,Black,Agnostic,3,3,0,3,0,3,0,5,1,5,3,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1
8016,1.0,516,5.0,542,5.0,312,2.0,672,1.0,465,1.0,269,1.0,283,4.0,754,2.0,779,2.0,811,1.0,724,5.0,416,4.0,583,1.0,233,5.0,413,3.0,384,1.0,249,2.0,333,3.0,395,4.0,374,10s,2,1,1,Female,1,1,White,Agnostic,5,2,0,2,2,0,6,2,2,6,2,2,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1
8017,1.0,505,2.0,1272,5.0,990,2.0,2097,4.0,634,1.0,748,1.0,490,1.0,126,2.0,3120,1.0,850,3.0,990,5.0,1145,4.0,1210,3.0,936,3.0,1140,5.0,1823,3.0,660,2.0,1225,4.0,360,4.0,1937,10s,2,1,1,Male,1,1,White,Agnostic,6,1,3,4,1,1,2,5,0,5,2,1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1
8018,1.0,518,5.0,691,5.0,828,1.0,703,1.0,1143,1.0,533,5.0,627,5.0,1675,5.0,1055,4.0,1431,5.0,813,5.0,1382,1.0,1210,1.0,317,1.0,646,5.0,689,5.0,421,4.0,1925,1.0,859,5.0,424,10s,2,2,3,Female,1,1,Asian,Other,4,2,1,2,0,0,2,1,5,6,2,2,0,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1
8019,1.0,424,5.0,1095,3.0,1046,1.0,612,5.0,168,1.0,642,4.0,912,1.0,1231,1.0,1608,5.0,854,2.0,1486,5.0,822,5.0,723,3.0,642,4.0,1315,5.0,673,3.0,1210,2.0,1623,5.0,509,5.0,679,30s,3,2,0,Female,1,3,White,Buddhist,1,1,1,6,0,6,1,0,3,6,3,2,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,1
8020,2.0,645,4.0,1297,5.0,939,2.0,1130,2.0,1697,1.0,823,2.0,1496,2.0,1325,4.0,1285,4.0,1952,5.0,1169,4.0,1946,4.0,1221,4.0,1018,5.0,1019,5.0,1292,5.0,1569,4.0,1485,2.0,1416,5.0,1225,50s,2,1,5,Female,0,3,White,Christian_Other,1,1,0,1,1,2,0,6,2,2,3,1,0,1,0,0,1,0,1,1,0,1,1,0,1,0,1,1
8021,1.0,285,2.0,2660,5.0,758,1.0,995,1.0,960,3.0,627,1.0,488,2.0,1330,3.0,10648,4.0,1705,3.0,720,5.0,866,4.0,2033,2.0,417,4.0,813,2.0,658,2.0,514,3.0,1128,3.0,852,4.0,1253,20s,4,1,0,Female,2,1,Asian,Buddhist,4,6,0,3,0,4,1,3,1,6,3,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
8022,5.0,620,4.0,1072,5.0,855,1.0,558,2.0,1430,2.0,672,1.0,464,1.0,5250,2.0,1385,5.0,1586,4.0,1170,5.0,1161,5.0,399,3.0,498,2.0,608,4.0,699,4.0,545,4.0,964,5.0,534,3.0,1332,10s,2,1,1,Male,1,1,Black,Agnostic,0,2,1,2,0,5,2,5,3,4,3,2,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1
8023,1.0,317,2.0,1051,4.0,778,1.0,560,2.0,615,2.0,807,2.0,740,1.0,710,2.0,2271,4.0,1365,5.0,1062,5.0,882,4.0,698,4.0,281,3.0,707,4.0,481,1.0,485,2.0,811,2.0,940,2.0,749,20s,4,1,2,Female,1,3,White,Atheist,1,0,0,3,0,6,1,6,4,5,3,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
8024,3.0,426,2.0,693,4.0,528,2.0,3220,5.0,778,2.0,497,5.0,460,4.0,1992,4.0,1673,3.0,1315,5.0,926,2.0,981,4.0,801,4.0,360,4.0,619,2.0,986,4.0,488,2.0,1431,2.0,818,4.0,1424,20s,3,1,3,Male,1,1,White,Christian_Other,4,3,4,5,1,1,2,4,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8025,3.0,870,1.0,1037,1.0,609,3.0,842,3.0,1421,5.0,716,5.0,1068,1.0,1454,5.0,1504,1.0,765,5.0,1094,3.0,956,1.0,1480,5.0,798,1.0,578,1.0,1807,5.0,404,3.0,1457,1.0,611,1.0,2508,40s,3,1,2,Male,1,2,White,Christian_Catholic,4,2,4,1,4,1,1,5,1,5,3,2,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1
8026,3.0,1247,1.0,571,2.0,374,2.0,446,3.0,1765,2.0,488,4.0,1989,2.0,1012,3.0,2280,2.0,506,3.0,811,3.0,802,4.0,872,3.0,776,1.0,216,4.0,997,4.0,371,4.0,1383,4.0,391,2.0,482,10s,1,1,3,Male,1,1,White,Christian_Protestant,2,2,4,5,2,3,3,1,1,3,1,2,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1
8027,1.0,514,4.0,1054,5.0,1077,1.0,671,1.0,1349,1.0,1128,5.0,1192,5.0,2396,1.0,891,5.0,698,3.0,1541,1.0,1026,5.0,852,1.0,497,5.0,611,5.0,876,1.0,713,2.0,4004,3.0,586,5.0,930,30s,2,2,2,Female,1,1,Asian,Christian_Catholic,1,0,1,6,0,6,6,0,2,0,3,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1
8028,1.0,364,1.0,959,1.0,1660,4.0,608,3.0,606,2.0,321,2.0,534,1.0,691,2.0,1046,2.0,757,4.0,1382,4.0,644,2.0,987,3.0,397,2.0,864,1.0,534,3.0,292,5.0,866,3.0,449,1.0,628,10s,2,1,2,Male,1,1,White,Christian_Catholic,4,6,0,0,1,0,1,6,5,6,2,2,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1
8029,1.0,735,5.0,2000,5.0,603,1.0,540,1.0,1827,1.0,697,2.0,898,5.0,1827,2.0,2170,5.0,848,2.0,2994,5.0,657,1.0,2189,4.0,981,4.0,994,2.0,1478,1.0,451,4.0,1238,4.0,1382,5.0,901,50s,3,1,5,Male,1,1,White,Agnostic,1,2,2,2,4,3,2,1,2,5,3,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1
8030,2.0,1184,4.0,3109,3.0,704,1.0,715,1.0,925,1.0,636,1.0,723,1.0,1437,1.0,1309,1.0,788,5.0,1660,5.0,1204,4.0,742,2.0,945,1.0,756,2.0,538,3.0,697,1.0,771,1.0,561,1.0,702,50s,4,1,5,Male,1,2,White,Christian_Protestant,3,3,3,3,0,5,1,3,3,6,2,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1
8031,4.0,1171,5.0,790,4.0,1480,1.0,828,1.0,1221,1.0,561,2.0,819,4.0,1233,2.0,3359,4.0,1094,4.0,1823,5.0,964,5.0,565,1.0,487,5.0,1273,5.0,873,4.0,816,4.0,695,5.0,391,5.0,1375,20s,2,1,4,Female,2,1,Other,Christian_Catholic,2,5,1,2,0,1,2,2,1,4,3,2,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,1
8032,1.0,639,2.0,984,5.0,461,1.0,790,1.0,590,1.0,486,1.0,676,3.0,1237,2.0,1652,2.0,1292,2.0,1725,5.0,570,5.0,537,1.0,350,5.0,1482,5.0,765,2.0,439,1.0,607,4.0,423,5.0,1969,10s,2,1,3,Male,1,1,White,Christian_Catholic,5,0,5,1,0,1,5,2,4,4,3,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1
8033,1.0,524,5.0,1180,5.0,878,1.0,454,1.0,858,1.0,331,2.0,878,1.0,1394,1.0,1005,5.0,938,2.0,1760,5.0,1652,5.0,616,3.0,241,4.0,993,5.0,728,4.0,1221,1.0,719,4.0,501,5.0,478,20s,2,1,2,Female,2,1,White,Agnostic,4,2,0,2,2,2,5,4,1,5,1,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1
8034,1.0,370,3.0,723,5.0,570,1.0,705,3.0,1301,3.0,429,1.0,931,1.0,1294,1.0,1320,5.0,744,3.0,876,5.0,1180,5.0,731,2.0,626,1.0,769,5.0,623,2.0,745,1.0,1332,3.0,510,3.0,254,30s,4,1,1,Female,1,2,Other,Christian_Catholic,0,0,0,6,0,6,3,6,3,6,3,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,1
8035,1.0,765,1.0,1528,4.0,1438,1.0,940,1.0,1311,1.0,1137,1.0,616,1.0,3701,1.0,1896,2.0,2017,5.0,1797,5.0,1760,1.0,962,1.0,613,4.0,1175,5.0,771,3.0,2212,5.0,1702,5.0,696,4.0,2492,10s,2,1,2,Male,1,1,Other,Atheist,6,6,1,0,0,0,1,6,1,6,2,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1
8036,2.0,1566,5.0,523,5.0,831,1.0,621,1.0,744,1.0,539,2.0,866,3.0,699,1.0,998,5.0,1034,1.0,1112,4.0,996,5.0,1109,2.0,802,4.0,1519,4.0,1386,2.0,1562,2.0,902,4.0,766,5.0,1018,20s,4,2,2,Male,1,1,Asian,Hindu,1,5,6,5,0,0,5,2,1,4,1,2,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,1
8037,1.0,644,4.0,1083,5.0,1131,1.0,983,1.0,1351,1.0,727,1.0,821,5.0,2585,1.0,166,5.0,1615,5.0,1002,1.0,1162,4.0,1199,1.0,1140,4.0,2923,5.0,689,2.0,1537,5.0,2387,5.0,730,4.0,1143,50s,4,1,2,Male,1,1,White,Christian_Other,6,2,5,1,6,0,5,2,5,6,3,2,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,1
8038,2.0,615,2.0,790,2.0,710,1.0,730,4.0,904,2.0,594,2.0,591,2.0,1260,5.0,726,3.0,781,5.0,1175,4.0,690,3.0,715,5.0,314,3.0,584,5.0,509,3.0,762,4.0,187,3.0,413,2.0,545,30s,3,1,3,Female,1,1,White,Christian_Other,2,2,0,2,2,2,3,5,2,2,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0,1,1
8039,2.0,819,2.0,1527,3.0,1901,1.0,830,1.0,1264,1.0,466,3.0,607,2.0,1118,1.0,2180,5.0,946,2.0,897,5.0,1172,3.0,1047,1.0,576,2.0,1285,3.0,1531,2.0,1268,2.0,1095,2.0,825,3.0,1643,10s,3,1,1,Female,1,1,White,Christian_Catholic,4,2,3,0,0,2,5,2,6,6,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1
8040,2.0,1287,3.0,1757,2.0,1310,3.0,831,3.0,1634,4.0,994,2.0,883,1.0,1245,5.0,3718,2.0,1977,5.0,2718,5.0,1244,1.0,1355,4.0,516,3.0,1526,1.0,1246,4.0,779,3.0,1699,3.0,1299,3.0,755,50s,2,1,4,Male,2,2,White,Agnostic,1,5,0,5,0,2,1,5,0,6,2,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
8041,3.0,281,4.0,601,4.0,504,1.0,680,1.0,718,1.0,311,3.0,788,2.0,1036,2.0,768,4.0,776,4.0,936,5.0,102,4.0,654,1.0,571,4.0,535,4.0,877,1.0,388,3.0,1170,4.0,405,5.0,542,20s,3,1,5,Female,1,1,White,Agnostic,4,2,1,2,0,4,1,5,2,4,2,2,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1
8042,1.0,1433,2.0,3394,1.0,2816,2.0,3351,2.0,2809,1.0,1105,5.0,1052,1.0,2534,4.0,2375,1.0,3021,4.0,5812,5.0,2043,1.0,2321,2.0,1794,2.0,3124,1.0,1171,4.0,4179,4.0,3649,4.0,1398,3.0,1926,50s,3,2,4,Male,3,3,White,Christian_Other,0,2,2,5,0,6,0,2,1,5,3,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1
8043,4.0,1299,1.0,823,5.0,1545,3.0,1033,4.0,1440,2.0,785,5.0,1108,1.0,1277,5.0,2343,4.0,1084,5.0,1152,2.0,9700,2.0,796,5.0,621,4.0,1107,2.0,726,3.0,1089,5.0,648,1.0,1288,4.0,729,20s,2,2,2,Female,1,1,White,Christian_Catholic,4,2,0,3,3,1,2,6,2,3,3,2,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1
8044,2.0,745,3.0,982,4.0,940,1.0,677,1.0,1096,1.0,443,4.0,885,1.0,1566,4.0,1562,5.0,1197,5.0,1597,5.0,822,5.0,752,1.0,530,5.0,515,1.0,750,1.0,1034,1.0,839,5.0,433,1.0,996,10s,1,1,3,Male,1,1,Native American,Agnostic,1,0,2,6,0,1,3,1,0,0,3,2,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,1
8045,1.0,508,2.0,949,4.0,1247,2.0,1965,1.0,1075,1.0,427,2.0,814,3.0,1288,4.0,2133,4.0,929,4.0,1554,4.0,773,2.0,648,1.0,734,3.0,772,3.0,716,3.0,424,4.0,1749,4.0,893,3.0,1040,20s,3,1,2,Male,2,1,White,Agnostic,5,3,3,2,3,0,2,2,1,4,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1
8046,1.0,404,1.0,1131,4.0,718,1.0,1814,1.0,701,5.0,435,3.0,971,3.0,1536,5.0,1549,1.0,1130,5.0,883,5.0,1204,5.0,2712,3.0,1309,3.0,1493,1.0,1980,1.0,482,5.0,1281,3.0,2755,1.0,2483,50s,3,1,2,Male,1,2,Native American,Other,6,6,1,6,3,1,0,1,0,6,2,2,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
8047,2.0,558,4.0,817,4.0,663,2.0,1868,1.0,1501,1.0,485,1.0,992,1.0,1734,2.0,1443,4.0,4464,4.0,1047,5.0,1357,2.0,912,2.0,458,4.0,2246,3.0,1456,2.0,1048,3.0,5923,2.0,810,4.0,1485,10s,2,1,3,Female,1,1,White,Christian_Protestant,5,4,0,4,2,0,2,2,1,6,2,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1
8048,1.0,3089,3.0,1033,4.0,1307,2.0,1080,2.0,2426,1.0,1300,1.0,646,4.0,1497,2.0,1109,4.0,1414,2.0,2875,5.0,827,4.0,885,2.0,2810,2.0,1218,4.0,751,2.0,788,1.0,4610,3.0,8303,5.0,9298,10s,2,1,2,Male,1,1,Black,Christian_Protestant,0,2,1,3,0,6,4,5,2,3,2,2,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1
8049,2.0,480,2.0,152,4.0,619,3.0,1133,2.0,1072,1.0,727,4.0,774,1.0,1030,3.0,1707,2.0,714,3.0,873,5.0,679,4.0,720,1.0,636,2.0,764,3.0,1040,2.0,780,3.0,949,4.0,85,2.0,1502,10s,1,1,3,Female,1,1,White,Atheist,6,1,2,0,2,0,4,1,6,5,3,2,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1
8050,1.0,436,2.0,2919,3.0,1205,1.0,962,3.0,1543,1.0,1086,2.0,799,2.0,2012,2.0,3282,5.0,952,2.0,1448,5.0,1817,5.0,1087,3.0,637,4.0,1148,4.0,1085,2.0,1409,2.0,1062,4.0,854,5.0,1022,10s,2,1,2,Male,1,1,White,Atheist,1,0,0,2,2,5,4,5,1,2,2,2,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1
8051,2.0,492,1.0,833,4.0,518,2.0,1135,2.0,1032,4.0,954,4.0,805,3.0,1515,5.0,2579,4.0,751,4.0,855,5.0,1120,1.0,669,4.0,395,1.0,655,2.0,844,4.0,605,4.0,718,5.0,682,2.0,1026,40s,4,1,2,Male,1,2,White,Christian_Catholic,5,1,1,2,1,5,1,5,5,6,2,2,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
8052,3.0,649,1.0,1695,5.0,1314,2.0,2035,3.0,10410,4.0,3170,2.0,2281,2.0,1243,2.0,1093,2.0,14874,4.0,2122,4.0,1402,4.0,22521,2.0,914,2.0,1966,4.0,1343,4.0,1287,3.0,1808,4.0,5061,4.0,1218,20s,4,2,2,Female,1,1,Asian,Other,4,6,2,5,1,1,3,2,0,4,3,2,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
8053,3.0,493,1.0,2075,4.0,1504,2.0,1992,2.0,912,3.0,624,5.0,497,1.0,1411,5.0,1455,4.0,1222,5.0,664,4.0,1145,3.0,684,5.0,562,1.0,789,2.0,909,2.0,585,2.0,3937,4.0,689,2.0,362,20s,2,1,3,Female,1,1,Native American,Christian_Other,0,0,1,0,2,5,5,6,2,5,1,1,0,0,0,0,1,0,1,1,0,1,1,0,1,1,1,1
